id_bien;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Type local;code_dep_com
11684;16;;RUE;DE PATAY;4;82.46;82;Appartement;45234
11685;8;;RUE;RAOUL DUFY;3;69.3;68;Appartement;49007
11686;3;;RUE;DE LA SEVRE;4;75.87;79;Appartement;49099
11687;8;;RTE;DE LA ROCHE MORNA;3;65.5;65;Appartement;49278
11688;33;;BD;DES ECREHOUS;3;40.87;40;Appartement;50031
11689;42;;AV;MARECHAL LECLERC;3;58.93;66;Appartement;50218
11690;5;;RUE;DE MOUZIMPRE;2;49.64;50;Appartement;54184
11691;7;;RUE;D ALSACE;2;43.53;43;Appartement;54323
11692;47;B;RUE;DES JARDINIERS;2;44.15;48;Appartement;54395
11693;6;;RUE;DES FONTAINES;2;58.52;51;Appartement;56010
11694;89;;GR;GRANDE RUE;1;39.7;40;Appartement;56118
11695;9003;;RUE;LILI BOULANGER;2;48.17;48;Appartement;56178
11696;71;;RUE;SAINT SEBASTIEN;2;47.58;49;Appartement;59350
11697;17;B;RUE;DU MAGASIN;2;42.6;47;Appartement;59350
11698;350;;RUE;LEON GAMBETTA;3;86.01;80;Appartement;59350
11699;9001;;RES;PLEIN CIEL 1 RTE PRESEAU;2;42.84;43;Appartement;59383
11700;29;;RUE;MIRABEAU;5;161.2;165;Appartement;59421
11701;12;;ALL;DE L'ESPIERRE;2;44.84;43;Appartement;59421
11702;26;;RES;LA LAITERIE A JAURES;6;154.73;158;Appartement;59512
11703;94;;RUE;DE PARIS;3;134.88;115;Appartement;59599
11704;3;B;RUE;DE BETHENCOURTEL;4;70.17;71;Appartement;60157
11705;4;;RUE;GERARD DE NERVAL;2;38.27;39;Appartement;60175
11706;11;;RUE;GERARD DE NERVAL;4;63.35;64;Appartement;60175
11707;110;;RUE;DE LAMORLAYE;1;39.0;38;Appartement;60282
11708;2;;RUE;JEAN DE LA FONTAINE;3;67.29;71;Appartement;60338
11709;8;;RUE;DE LA REPUBLIQUE;3;46.71;46;Appartement;60509
11710;13;;AV;MARCEL PAGNOL;2;50.66;53;Appartement;60684
11711;41;;RUE;DE CAMBRAI;2;48.0;32;Appartement;62041
11712;16;T;RUE;OZANAM;1;18.32;18;Appartement;62041
11713;14;;RTE;DE LANCON;2;34.24;40;Appartement;65031
11714;5;;RUE;DE FINALE EN EMILIE;3;43.28;45;Appartement;69094
11715;44;;ALL;DE LA CLAIRIERE;6;110.09;110;Maison;69100
11716;236;;CHE;DU GRAND REVOYET;3;69.31;68;Appartement;69204
11717;275;;AV;JEAN JAURES;3;65.23;65;Appartement;69275
11718;49;;RUE;TABLES CLAUDIENNES;2;48.68;48;Appartement;69381
11719;110;;AV;LACASSAGNE;2;56.04;58;Appartement;69383
11720;56;;QUAI;PIERRE SCIZE;1;35.0;34;Appartement;69385
11721;3;;RUE;DE RIVOLI;3;71.71;74;Appartement;72181
11722;8;;RUE;DE CONSTANTINE;2;42.48;44;Appartement;72181
11723;11;;RUE;D'ALGER;3;62.72;67;Appartement;72181
11724;32;;RUE;MONTORGUEIL;3;42.11;31;Appartement;75101
11725;21;;RUE;DES JEUNEURS;3;59.56;59;Appartement;75102
11726;28;;RUE;LEOPOLD BELLAN;1;16.81;19;Appartement;75102
11727;69;;RUE;GRENETA;1;17.78;18;Appartement;75102
11728;3;;RUE;BLONDEL;2;34.1;26;Appartement;75103
11729;16;;RUE;VOLTA;4;90.07;95;Appartement;75103
11730;20;;RUE;REAUMUR;3;105.09;86;Appartement;75103
11731;40;;RUE;CHARLOT;1;38.78;40;Appartement;75103
11732;56;;RUE;BEAUBOURG;1;78.57;78;Appartement;75103
11733;2;;RUE;FERDINAND DUVAL;2;35.06;30;Appartement;75104
11734;4;;RUE;DE BUCI;2;37.72;32;Appartement;75106
11735;34;;RUE;DAUPHINE;2;19.39;25;Appartement;75106
11736;72;;RUE;DE SEINE;3;102.08;104;Appartement;75106
11737;43;;RUE;DE LILLE;1;34.2;34;Appartement;75107
11738;10;;RUE;DE MARIGNAN;2;18.47;19;Appartement;75108
11739;5;;RUE;DE LA TOUR D AUVERGNE;2;22.03;19;Appartement;75109
11740;8;;RUE;OBERKAMPF;1;21.6;20;Appartement;75111
11741;92;;RUE;DU CHEMIN VERT;2;43.77;45;Appartement;75111
11742;40;;RUE;SEDAINE;2;34.71;33;Appartement;75111
11743;111;;RUE;DU FBG ST ANTOINE;2;32.96;35;Appartement;75111
11744;35;;RUE;DU SAHEL;3;70.27;69;Appartement;75112
11745;121;;BD;DE L HOPITAL;1;14.01;10;Appartement;75113
11746;9;;SQ;ALBIN CACHOT;2;29.9;30;Appartement;75113
11747;15;;RUE;GAZAN;4;83.5;85;Appartement;75114
11748;2;;RUE;BOYER BARRET;1;51.69;53;Appartement;75114
11749;47;;RUE;PAUL BARRUEL;4;98.5;98;Appartement;75115
11750;17;;RUE;OLIVIER DE SERRES;2;48.63;45;Appartement;75115
11751;15;;RUE;FIRMIN GILLOT;1;20.35;22;Appartement;75115
11752;194;;RUE;DE LA CONVENTION;3;50.3;48;Appartement;75115
11753;43;;RUE;FONDARY;2;26.14;26;Appartement;75115
11754;39;;BD;DE GRENELLE;3;79.06;82;Appartement;75115
11755;77;;RUE;DE LOURMEL;2;62.32;62;Appartement;75115
11756;11;B;RUE;VASCO DE GAMA;3;43.29;47;Appartement;75115
11757;133;;AV;FELIX FAURE;2;47.83;48;Appartement;75115
