id_vente;Date mutation;Valeur fonciere;Nature mutation;id_bien
249;2020-01-03;312450;Vente;249
250;2020-01-03;348450;Vente;250
251;2020-01-03;298333;Vente;251
252;2020-01-03;326200;Vente;252
253;2020-01-03;349000;Vente;253
254;2020-01-03;43000;Vente;254
255;2020-01-03;192000;Vente;255
256;2020-01-03;142100;Vente;256
257;2020-01-03;572000;Vente;257
258;2020-01-03;130000;Vente;258
259;2020-01-03;134000;Vente;259
260;2020-01-03;209000;Vente;260
261;2020-01-03;378850;Vente;261
262;2020-01-03;440425;Vente;262
263;2020-01-03;331000;Vente;263
264;2020-01-03;410370;Vente;264
265;2020-01-03;145000;Vente;265
266;2020-01-03;218000;Vente;266
267;2020-01-03;269000;Vente;267
268;2020-01-03;374675;Vente;268
269;2020-01-03;163000;Vente;269
270;2020-01-03;224500;Vente;270
271;2020-01-03;159000;Vente;271
272;2020-01-03;195600;Vente;272
273;2020-01-03;240000;Vente;273
274;2020-01-03;174000;Vente;274
275;2020-01-04;84000;Vente;275
276;2020-01-04;76100;Vente;276
277;2020-01-04;67750;Vente;277
278;2020-01-04;75200;Vente;278
279;2020-01-04;176000;Vente;279
280;2020-01-04;123000;Vente;280
281;2020-01-04;87900;Vente;281
282;2020-01-04;57200;Vente;282
283;2020-01-04;74000;Vente;283
284;2020-01-06;285000;Vente;284
285;2020-01-06;429250;Vente;285
286;2020-01-06;196000;Vente;286
287;2020-01-06;443000;Vente;287
288;2020-01-06;170000;Vente;288
289;2020-01-06;128600;Vente;289
290;2020-01-06;81000;Vente;290
291;2020-01-06;335000;Vente;291
292;2020-01-06;212200;Vente;292
293;2020-01-06;643815;Vente;293
294;2020-01-06;113200;Vente;294
295;2020-01-06;88000;Vente;295
296;2020-01-06;99500;Vente;296
297;2020-01-06;90000;Vente;297
298;2020-01-06;68600;Vente;298
299;2020-01-06;52000;Vente;299
300;2020-01-06;207500;Vente;300
301;2020-01-06;237000;Vente;301
302;2020-01-06;72200;Vente;302
303;2020-01-06;318000;Vente;303
304;2020-01-06;330850;Vente;304
305;2020-01-06;144950;Vente;305
306;2020-01-06;144000;Vente;306
307;2020-01-06;82000;Vente;307
308;2020-01-06;298000;Vente;308
309;2020-01-06;91000;Vente;309
310;2020-01-06;265000;Vente;310
311;2020-01-06;197000;Vente;311
312;2020-01-06;375000;Vente;312
313;2020-01-06;104000;Vente;313
314;2020-01-06;173000;Vente;314
315;2020-01-06;275000;Vente;315
316;2020-01-06;160000;Vente;316
317;2020-01-06;110000;Vente;317
318;2020-01-06;53900;Vente;318
319;2020-01-06;206300;Vente;319
320;2020-01-06;72000;Vente;320
321;2020-01-06;188900;Vente;321
322;2020-01-06;65000;Vente;322
323;2020-01-06;149500;Vente;323
324;2020-01-06;150900;Vente;324
325;2020-01-06;90000;Vente;325
326;2020-01-06;106000;Vente;326
327;2020-01-06;86000;Vente;327
328;2020-01-06;46000;Vente;328
329;2020-01-06;72000;Vente;329
330;2020-01-06;88000;Vente;330
331;2020-01-06;137000;Vente;331
332;2020-01-06;360000;Vente;332
333;2020-01-06;33000;Vente;333
334;2020-01-06;122450;Vente;334
335;2020-01-06;99750;Vente;335
336;2020-01-06;153300;Vente;336
337;2020-01-06;172950;Vente;337
338;2020-01-06;71530;Vente;338
339;2020-01-06;78000;Vente;339
340;2020-01-06;204000;Vente;340
